"Electricity statistics by Country/area, Technology, Data Type, Grid connection and Year"

"Country/area","Technology","Data Type","Grid connection","Year",Electricity statistics
"Canada","Total renewable","Electricity Installed Capacity (MW)","All","2015",95160.00
"Canada","Total renewable","Electricity Installed Capacity (MW)","All","2016",96997.50
"Canada","Total renewable","Electricity Installed Capacity (MW)","All","2017",98149.00
"Canada","Total renewable","Electricity Installed Capacity (MW)","All","2018",99591.50
"Canada","Total renewable","Electricity Installed Capacity (MW)","All","2019",99987.50
"Canada","Total renewable","Electricity Installed Capacity (MW)","All","2020",100390.00
"Canada","Total renewable","Electricity Installed Capacity (MW)","All","2021",103330.00
"Canada","Total renewable","Electricity Installed Capacity (MW)","All","2022",105781.70
"Canada","Total renewable","Electricity Installed Capacity (MW)","All","2023",107672.20
"Canada","Total renewable","Electricity Installed Capacity (MW)","All","2024",109504.50
"Canada","Total renewable","Electricity Installed Capacity (MW)","On-grid","2015",95160.00
"Canada","Total renewable","Electricity Installed Capacity (MW)","On-grid","2016",96997.50
"Canada","Total renewable","Electricity Installed Capacity (MW)","On-grid","2017",98149.00
"Canada","Total renewable","Electricity Installed Capacity (MW)","On-grid","2018",99591.50
"Canada","Total renewable","Electricity Installed Capacity (MW)","On-grid","2019",99987.50
"Canada","Total renewable","Electricity Installed Capacity (MW)","On-grid","2020",100390.00
"Canada","Total renewable","Electricity Installed Capacity (MW)","On-grid","2021",103330.00
"Canada","Total renewable","Electricity Installed Capacity (MW)","On-grid","2022",105781.70
"Canada","Total renewable","Electricity Installed Capacity (MW)","On-grid","2023",107672.20
"Canada","Total renewable","Electricity Installed Capacity (MW)","On-grid","2024",109504.50
"Canada","Total renewable","Electricity Installed Capacity (MW)","Off-grid","2015",-
"Canada","Total renewable","Electricity Installed Capacity (MW)","Off-grid","2016",-
"Canada","Total renewable","Electricity Installed Capacity (MW)","Off-grid","2017",-
"Canada","Total renewable","Electricity Installed Capacity (MW)","Off-grid","2018",-
"Canada","Total renewable","Electricity Installed Capacity (MW)","Off-grid","2019",-
"Canada","Total renewable","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Canada","Total renewable","Electricity Installed Capacity (MW)","Off-grid","2021",-
"Canada","Total renewable","Electricity Installed Capacity (MW)","Off-grid","2022",-
"Canada","Total renewable","Electricity Installed Capacity (MW)","Off-grid","2023",-
"Canada","Total renewable","Electricity Installed Capacity (MW)","Off-grid","2024",-
"Canada","Total renewable","Electricity Generation (GWh)","All","2015",421777.00
"Canada","Total renewable","Electricity Generation (GWh)","All","2016",431808.00
"Canada","Total renewable","Electricity Generation (GWh)","All","2017",441401.00
"Canada","Total renewable","Electricity Generation (GWh)","All","2018",434498.00
"Canada","Total renewable","Electricity Generation (GWh)","All","2019",429785.00
"Canada","Total renewable","Electricity Generation (GWh)","All","2020",437045.00
"Canada","Total renewable","Electricity Generation (GWh)","All","2021",436043.00
"Canada","Total renewable","Electricity Generation (GWh)","All","2022",453143.00
"Canada","Total renewable","Electricity Generation (GWh)","All","2023",418837.00
"Canada","Total renewable","Electricity Generation (GWh)","All","2024",-
"Canada","Total renewable","Electricity Generation (GWh)","On-grid","2015",421777.00
"Canada","Total renewable","Electricity Generation (GWh)","On-grid","2016",431808.00
"Canada","Total renewable","Electricity Generation (GWh)","On-grid","2017",441401.00
"Canada","Total renewable","Electricity Generation (GWh)","On-grid","2018",434498.00
"Canada","Total renewable","Electricity Generation (GWh)","On-grid","2019",429785.00
"Canada","Total renewable","Electricity Generation (GWh)","On-grid","2020",437045.00
"Canada","Total renewable","Electricity Generation (GWh)","On-grid","2021",436043.00
"Canada","Total renewable","Electricity Generation (GWh)","On-grid","2022",453143.00
"Canada","Total renewable","Electricity Generation (GWh)","On-grid","2023",418837.00
"Canada","Total renewable","Electricity Generation (GWh)","On-grid","2024",-
"Canada","Total renewable","Electricity Generation (GWh)","Off-grid","2015",-
"Canada","Total renewable","Electricity Generation (GWh)","Off-grid","2016",-
"Canada","Total renewable","Electricity Generation (GWh)","Off-grid","2017",-
"Canada","Total renewable","Electricity Generation (GWh)","Off-grid","2018",-
"Canada","Total renewable","Electricity Generation (GWh)","Off-grid","2019",-
"Canada","Total renewable","Electricity Generation (GWh)","Off-grid","2020",-
"Canada","Total renewable","Electricity Generation (GWh)","Off-grid","2021",-
"Canada","Total renewable","Electricity Generation (GWh)","Off-grid","2022",-
"Canada","Total renewable","Electricity Generation (GWh)","Off-grid","2023",-
"Canada","Total renewable","Electricity Generation (GWh)","Off-grid","2024",-
"Canada","Solar photovoltaic","Electricity Installed Capacity (MW)","All","2015",2141.00
"Canada","Solar photovoltaic","Electricity Installed Capacity (MW)","All","2016",2265.00
"Canada","Solar photovoltaic","Electricity Installed Capacity (MW)","All","2017",2493.00
"Canada","Solar photovoltaic","Electricity Installed Capacity (MW)","All","2018",2631.00
"Canada","Solar photovoltaic","Electricity Installed Capacity (MW)","All","2019",2828.00
"Canada","Solar photovoltaic","Electricity Installed Capacity (MW)","All","2020",3068.00
"Canada","Solar photovoltaic","Electricity Installed Capacity (MW)","All","2021",3854.00
"Canada","Solar photovoltaic","Electricity Installed Capacity (MW)","All","2022",4323.00
"Canada","Solar photovoltaic","Electricity Installed Capacity (MW)","All","2023",5328.00
"Canada","Solar photovoltaic","Electricity Installed Capacity (MW)","All","2024",5773.40
"Canada","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2015",2141.00
"Canada","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2016",2265.00
"Canada","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2017",2493.00
"Canada","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2018",2631.00
"Canada","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2019",2828.00
"Canada","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2020",3068.00
"Canada","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2021",3854.00
"Canada","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2022",4323.00
"Canada","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2023",5328.00
"Canada","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2024",5773.40
"Canada","Solar photovoltaic","Electricity Installed Capacity (MW)","Off-grid","2015",-
"Canada","Solar photovoltaic","Electricity Installed Capacity (MW)","Off-grid","2016",-
"Canada","Solar photovoltaic","Electricity Installed Capacity (MW)","Off-grid","2017",-
"Canada","Solar photovoltaic","Electricity Installed Capacity (MW)","Off-grid","2018",-
"Canada","Solar photovoltaic","Electricity Installed Capacity (MW)","Off-grid","2019",-
"Canada","Solar photovoltaic","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Canada","Solar photovoltaic","Electricity Installed Capacity (MW)","Off-grid","2021",-
"Canada","Solar photovoltaic","Electricity Installed Capacity (MW)","Off-grid","2022",-
"Canada","Solar photovoltaic","Electricity Installed Capacity (MW)","Off-grid","2023",-
"Canada","Solar photovoltaic","Electricity Installed Capacity (MW)","Off-grid","2024",-
"Canada","Solar photovoltaic","Electricity Generation (GWh)","All","2015",2841.00
"Canada","Solar photovoltaic","Electricity Generation (GWh)","All","2016",3005.00
"Canada","Solar photovoltaic","Electricity Generation (GWh)","All","2017",3308.00
"Canada","Solar photovoltaic","Electricity Generation (GWh)","All","2018",3491.00
"Canada","Solar photovoltaic","Electricity Generation (GWh)","All","2019",3752.00
"Canada","Solar photovoltaic","Electricity Generation (GWh)","All","2020",4072.00
"Canada","Solar photovoltaic","Electricity Generation (GWh)","All","2021",5115.00
"Canada","Solar photovoltaic","Electricity Generation (GWh)","All","2022",5737.00
"Canada","Solar photovoltaic","Electricity Generation (GWh)","All","2023",7071.00
"Canada","Solar photovoltaic","Electricity Generation (GWh)","All","2024",-
"Canada","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2015",2841.00
"Canada","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2016",3005.00
"Canada","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2017",3308.00
"Canada","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2018",3491.00
"Canada","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2019",3752.00
"Canada","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2020",4072.00
"Canada","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2021",5115.00
"Canada","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2022",5737.00
"Canada","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2023",7071.00
"Canada","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2024",-
"Canada","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2015",-
"Canada","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2016",-
"Canada","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2017",-
"Canada","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2018",-
"Canada","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2019",-
"Canada","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2020",-
