Year,Biogas,Coal and peat,Fossil fuels n.e.s.,Marine energy,Natural gas,Nuclear,Oil,Onshore wind energy,Other non-renewable energy,Pumped storage,Renewable hydropower,Renewable municipal waste,Solar photovoltaic,Solid biofuels,Total non-renewable,Total renewable
2015,193.0,9791.0,1603.0,20.0,16873.0,14033.0,6011.0,11214.0,43.0,174.0,79231.0,43.0,2141.0,2318.0,48528.0,95160.0
2016,179.0,9641.0,1734.0,20.0,17553.0,14033.0,5978.0,11973.0,45.5,174.0,80130.0,45.5,2265.0,2385.0,49158.5,96997.5
2017,218.0,9636.0,1635.0,20.0,17241.0,14033.0,6018.0,12250.0,46.0,174.0,80657.0,46.0,2493.0,2465.0,48783.0,98149.0
2018,212.0,9689.0,1618.0,20.0,17472.0,13338.0,6002.0,12816.0,39.5,174.0,81396.0,39.5,2631.0,2477.0,48332.5,99591.5
2019,251.0,9689.0,1488.0,20.0,17634.0,13338.0,6019.0,13220.0,39.5,174.0,81396.0,39.5,2828.0,2233.0,48381.5,99987.5
2020,262.0,9247.0,1466.0,0.5,19802.0,12513.0,6019.0,13532.0,39.5,174.0,81209.0,39.5,3068.0,2279.0,49260.5,100390.0
2021,367.0,7996.0,1376.0,0.5,17592.0,13085.0,6019.0,13878.0,39.5,174.0,82893.0,39.5,3854.0,2298.0,46281.5,103330.0
2022,365.0,5748.0,1358.0,1.2,18500.0,13085.0,6019.0,15237.0,39.5,174.0,83498.0,39.5,4323.0,2318.0,44923.5,105781.7
2023,352.0,4594.0,1374.0,1.2,21170.0,12669.0,6019.0,16137.0,38.0,174.0,83498.0,38.0,5328.0,2318.0,46038.0,107672.2
2024,352.0,3714.0,1374.0,1.2,21284.0,12669.0,6019.0,17523.9,38.0,174.0,83498.0,38.0,5773.4,2318.0,45272.0,109504.5
